"id","filename","species","latitude","longitude","family","order","genus","year","gbif_species_to_verbatim","Specimen ID","Bnet UI","Familiy_kawahara","Genus_kawahara","Species_kawahara","kawahara_index","phy_tip_name","swallowtail","swallowtail_length","Csize","match_landmarks","match_tree"
"3042591926","3042591926_2012_10_17_IMG_132052.JPG.jpg","Graphium sarpedon",NA,NA,"Papilionidae","Lepidoptera","Graphium","1937","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","6189.12580462702","3042591926_2012_10_17_IMG_132052.JPG","Graphium_sarpedon"
"3042592206","3042592206_2014_05_02_IMG_173377.JPG.jpg","Pharmacophagus antenor","-19.25495","47.21973","Papilionidae","Lepidoptera","Pharmacophagus",NA,"Pharmacophagus antenor","SRR8954535",NA,"Papilionidae","Pharmacophagus","antenor","1834","SRR8954535_Pharmacophagus_antenor","1","2","6929.62193805694","3042592206_2014_05_02_IMG_173377.JPG","Pharmacophagus_antenor"
"3053885396","3053885396_0_default.jpg","Parnassius orleans","30.05426","101.96793","Papilionidae","Lepidoptera","Parnassius","1910","Parnassius orleans","SRR8954532",NA,"Papilionidae","Parnassius","orleans","1818","SRR8954532_Parnassius_orleans","0","0","4391.25307911079","3053885396_0_default","Parnassius_orleans"
"3053886417","3053886417_2014_04_29_IMG_172930.JPG.jpg","Ornithoptera richmondia","-32.08802","147.56445","Papilionidae","Lepidoptera","Ornithoptera",NA,"Ornithoptera richmondia","SRR8954528",NA,"Papilionidae","Ornithoptera","richmondia","1837","SRR8954528_Ornithoptera_richmondia","0","0","4895.15406681955","3053886417_2014_04_29_IMG_172930.JPG","Ornithoptera_richmondia"
"3053887429","3053887429_2014_05_02_IMG_173401.JPG.jpg","Papilio thoas","-12.49964","-54.0332","Papilionidae","Lepidoptera","Papilio",NA,"Papilio thoas","LEP44160","BN005293","Papilionidae","Papilio","thoas","1851","BN005293_LEP44160_Papilionidae_Papilioninae_Papilionini_Heraclides_thoas","1","2","6805.61886336577","3053887429_2014_05_02_IMG_173401.JPG","Papilio_thoas"
"3053889381","3053889381_0_default.jpg.jpg","Graphium agamemnon","-7.40452","110.00444","Papilionidae","Lepidoptera","Graphium","1883","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","6280.35291606292","3053889381_0_default","Graphium_agamemnon"
"3053891397","3053891397_0_default.jpg.jpg","Graphium agamemnon","27.57725","88.48438","Papilionidae","Lepidoptera","Graphium",NA,"Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","6543.97771526615","3053891397_0_default","Graphium_agamemnon"
"3053892390","3053892390_0_default.jpg.jpg","Battus belus","10.16978","-61.6392","Papilionidae","Lepidoptera","Battus",NA,"Battus belus","SRR8954510",NA,"Papilionidae","Battus","belus","1833","SRR8954510_Battus_belus","1","1","8278.28010261793","3053892390_0_default","Battus_belus"
"3053893382","3053893382_2012_11_24_IMG_136472.JPG.jpg","Battus polydamas",NA,NA,"Papilionidae","Lepidoptera","Battus","1921","Battus polydamas","LEP15366",NA,"Papilionidae","Battus","polydamas","1832","LEP15366_Papilionidae_Papilioninae_Troidini_Battus_polydamas_polydamas_ME","0","0","6494.31376544127","3053893382_2012_11_24_IMG_136472.JPG","Battus_polydamas"
"3053900403","3053900403_2013_02_21_IMG_137188.JPG.jpg","Allancastria cerisyi",NA,NA,"Papilionidae","Lepidoptera","Allancastria","1901","Allancastria cerisyi","RV-07-D031",NA,"Papilionidae","Allancastria","cerisyi","1830","RV07D031_Papilionidae_Parnassinae_Zerynthiini_Allancastria_cerisyi_ME","1","1","4404.91039785147","3053900403_2013_02_21_IMG_137188.JPG","Allancastria_cerisyi"
"3072576314","3072576314_0_default.jpg.jpg","Graphium evemon","3.66667","114.75","Papilionidae","Lepidoptera","Graphium","1910","Graphium evemon","SRR4345447",NA,"Papilionidae","Graphium","evemon","1806","SRR4345447_Graphium_evemon","0","0","5637.74226426679","3072576314_0_default","Graphium_evemon"
"3072576318","3072576318_0_default.jpg.jpg","Papilio gigon","1.39763","124.96169","Papilionidae","Lepidoptera","Papilio",NA,"Papilio gigon","SRR4342886",NA,"Papilionidae","Papilio","gigon","1859","SRR4342886_Papilio_gigon","1","1","5957.15868446527","3072576318_0_default","Papilio_gigon"
"3072578322","3072578322_2012_11_24_IMG_136463.JPG.jpg","Battus polydamas","-12.49964","-54.0332","Papilionidae","Lepidoptera","Battus","1879","Battus polydamas","LEP15366",NA,"Papilionidae","Battus","polydamas","1832","LEP15366_Papilionidae_Papilioninae_Troidini_Battus_polydamas_polydamas_ME","0","0","7034.75974894665","3072578322_2012_11_24_IMG_136463.JPG","Battus_polydamas"
"3072582327","3072582327_0_default.jpg.jpg","Papilio deiphobus","-3.107","129.42","Papilionidae","Lepidoptera","Papilio","1911","Papilio deiphobus","LEP28904",NA,"Papilionidae","Papilio","deiphobus","1866","LEP28904_Papilio_rumanzovia_ME","0","0","7060.10905025553","3072582327_0_default","Papilio_deiphobus"
"3072593320","3072593320_0_default.jpg.jpg","Papilio deiphobus","4.19","126.8","Papilionidae","Lepidoptera","Papilio",NA,"Papilio deiphobus","LEP28904",NA,"Papilionidae","Papilio","deiphobus","1866","LEP28904_Papilio_rumanzovia_ME","0","0","6213.14853203269","3072593320_0_default","Papilio_deiphobus"
"3081072311","3081072311_2012_09_20_IMG_129409.JPG.jpg","Euryades corethrus","-30.03465","-51.21766","Papilionidae","Lepidoptera","Euryades","1921","Euryades corethrus","SRR8954508",NA,"Papilionidae","Euryades","corethrus","1838","SRR8954508_Euryades_corethrus","0","0","6656.21845476093","3081072311_2012_09_20_IMG_129409.JPG","Euryades_corethrus"
"3081075313","3081075313_2012_09_20_IMG_129403.JPG.jpg","Euryades corethrus","-30.03465","-51.21766","Papilionidae","Lepidoptera","Euryades",NA,"Euryades corethrus","SRR8954508",NA,"Papilionidae","Euryades","corethrus","1838","SRR8954508_Euryades_corethrus","0","0","6234.22772497123","3081075313_2012_09_20_IMG_129403.JPG","Euryades_corethrus"
